mmsi,vessel_type_key,vessel_type_code,timestamp,lat,lon,sog,cog,heading,nav_status,length,width,draught,name,flag,ais_on,true_activity,had_dark_period,region
<<<<<<< HEAD
700068580,trawler,30,2024-06-01 11:07:16.247518,-2.80481,-35.34186,9.4,163.0,162.6,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:12:16.247518,-2.81704,-35.3379,9.8,165.7,164.9,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:17:16.247518,-2.83041,-35.33504,9.7,167.6,168.9,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:22:16.247518,-2.84315,-35.33188,9.9,165.2,165.6,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:27:16.247518,-2.8565,-35.32862,9.9,164.8,163.5,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:32:16.247518,-2.86971,-35.32525,10.2,161.1,162.3,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:37:16.247518,-2.88307,-35.32138,10.5,162.2,160.0,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:42:16.247518,-2.89685,-35.31633,10.4,161.5,160.9,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:47:16.247518,-2.91045,-35.31208,10.5,159.3,159.3,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:52:16.247518,-2.92434,-35.30744,10.4,162.7,159.8,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 11:57:16.247518,-2.93792,-35.30297,9.7,164.4,165.8,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:02:16.247518,-2.95174,-35.29921,9.9,161.8,162.3,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:07:16.247518,-2.96442,-35.29447,9.3,161.5,161.0,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:12:16.247518,-2.97667,-35.29031,9.5,163.0,160.6,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:17:16.247518,-2.98906,-35.28693,8.8,161.2,159.2,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:22:16.247518,-3.00096,-35.28291,10.2,169.0,169.5,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:27:16.247518,-3.01405,-35.27981,9.7,167.2,165.1,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:32:16.247518,-3.02695,-35.27664,9.7,166.0,163.6,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:37:16.247518,-3.03997,-35.27317,8.9,175.2,176.0,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:42:16.247518,-3.05246,-35.27239,9.4,171.3,171.7,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:47:16.247518,-3.06495,-35.27037,9.9,172.6,174.8,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:52:16.247518,-3.07815,-35.26788,9.9,170.7,170.3,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 12:57:16.247518,-3.09245,-35.26628,10.2,168.3,167.9,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 13:02:16.247518,-3.10646,-35.26334,10.6,165.9,163.5,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 13:07:16.247518,-3.12076,-35.26021,10.0,171.7,173.7,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 13:12:16.247518,-3.13459,-35.25805,10.7,170.8,168.6,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 13:17:16.247518,-3.14957,-35.25602,10.9,180.2,179.1,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 13:22:16.247518,-3.16428,-35.25622,10.5,176.0,175.0,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
700068580,trawler,30,2024-06-01 13:27:16.247518,-3.17853,-35.2558,10.6,176.3,174.1,0,25,12,5.5,VESSEL_BRA_000,BR,True,transit,False,brazil_eez
